id,title,album,album_artist,artist,genre,description,track_num,total_tracks,speaker_image_url,album_image_url,details_url,download_url,comment,year,download_successful,last_download_attempt,has_outline,original_file_name,downloaded_file_path
1,Science in the Poll-Parrot,"ACCS 1995 Conference (Moscow, ID)",ACCS,Mrs. Trude Marston,Classical Education,Updated ACCS 1995 - A message from the Association of Classical and Christians Schools Conference 1995,,,,https://www.wordmp3.com/image.ashx?filename=%2fimages%2forg_accs.gif&width=100,https://www.wordmp3.com/details.aspx?id=1,https://www.wordmp3.com/download.aspx?id=1,,,True,2021-11-30 00:27:46.712349,False,ACCS_1995_Marston_Trude_Science_in_the_Poll-Parrot_Stage.mp3,"D:\Projects\Python\TempScraperContainer\ACCS 1995 Conference (Moscow, ID)\0000001_Science in the Poll-Parrot.mp3"
2,Atonement for the Land,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,"Great series with the encyclopedic R.J. Rushdoony at his best, tremendous insights into OT passages with relevant application today!",1,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/images/logo-dimmed.gif,https://www.wordmp3.com/details.aspx?id=2,https://www.wordmp3.com/download.aspx?id=2,,,True,2021-11-30 00:27:48.921901,False,Rushdoony_Systematic_Theology_The_Land_01_Atonement.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000002_Atonement for the Land.mp3
3,Debt & the Future,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R.J. Rushdoony: Systematic Theology The Land p 10 Debt and Future,10,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/image.ashx?filename=%2fimages%2fchalcedon.gif&width=100,https://www.wordmp3.com/details.aspx?id=3,https://www.wordmp3.com/download.aspx?id=3,,,True,2021-11-30 00:27:50.728449,False,Rushdoony_Systematic_Theology_The_Land_10_Debt_and_Future.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000003_Debt & the Future.mp3
4,The Covenant & The Land,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,The Land,Dr. R.J. Rushdoony: Systematic Theology The Land p 11 Covenant and the Land,11,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/images/logo-dimmed.gif,https://www.wordmp3.com/details.aspx?id=4,https://www.wordmp3.com/download.aspx?id=4,,,True,2021-11-30 00:27:52.627719,False,Rushdoony_Systematic_Theology_The_Land_11_Covenant_and_the_Land.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000004_The Covenant & The Land.mp3
5,Sacred Land,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R. J. Rushdoony: Systematic Theology The Land p 12 Sacred Land,12,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/images/logo-dimmed.gif,https://www.wordmp3.com/details.aspx?id=5,https://www.wordmp3.com/download.aspx?id=5,,,True,2021-11-30 00:27:54.506133,False,Rushdoony_Systematic_Theology_The_Land_12_Sacred_Land.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000005_Sacred Land.mp3
6,The Holy Spirit & The Tithe,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R. J. Rushdoony: Systematic Theology The Land p 13 Freedom and the Land,13,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/images/logo-dimmed.gif,https://www.wordmp3.com/details.aspx?id=6,https://www.wordmp3.com/download.aspx?id=6,,,True,2021-11-30 00:27:56.307391,False,Rushdoony_Systematic_Theology_The_Land_13_Freedom_and_the_Land.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000006_The Holy Spirit & The Tithe.mp3
7,Freedom & The Land,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R. J. Rushdoony: Systematic Theology The Land p 14 Freedom and the Land,14,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/image.ashx?filename=%2fimages%2fchalcedon.gif&width=100,https://www.wordmp3.com/details.aspx?id=7,https://www.wordmp3.com/download.aspx?id=7,,,True,2021-11-30 00:27:58.111040,False,Rushdoony_Systematic_Theology_The_Land_14_Freedom_and_the_Land.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000007_Freedom & The Land.mp3
8,The Land & Holiness,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R. J. Rushdoony: Systematic Theology The Land p 16 Land and Holiness,16,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/images/logo-dimmed.gif,https://www.wordmp3.com/details.aspx?id=8,https://www.wordmp3.com/download.aspx?id=8,,,True,2021-11-30 00:27:59.876069,False,Rushdoony_Systematic_Theology_The_Land_16_Land_and_Holiness.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000008_The Land & Holiness.mp3
9,The Land Defiled,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R. J. Rushdoony: Systematic Theology The Land p 17 Land Defiled,17,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/images/logo-dimmed.gif,https://www.wordmp3.com/details.aspx?id=9,https://www.wordmp3.com/download.aspx?id=9,,,True,2021-11-30 00:28:01.732897,False,Rushdoony_Systematic_Theology_The_Land_17_Land_Defiled.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000009_The Land Defiled.mp3
10,Man Defiled,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R. J. Rushdoony: Systematic Theology The Land p 18 Man Defiled,18,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/image.ashx?filename=%2fimages%2fchalcedon.gif&width=100,https://www.wordmp3.com/details.aspx?id=10,https://www.wordmp3.com/download.aspx?id=10,,,True,2021-11-30 00:28:03.579554,False,Rushdoony_Systematic_Theology_The_Land_18_Man_Defiled.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000010_Man Defiled.mp3
11,Disinheritance,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R. J. Rushdoony: Systematic Theology The Land p 19 Disinheritance,19,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/images/logo-dimmed.gif,https://www.wordmp3.com/details.aspx?id=11,https://www.wordmp3.com/download.aspx?id=11,,,True,2021-11-30 00:28:05.405038,False,Rushdoony_Systematic_Theology_The_Land_19_Disinheritance.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000011_Disinheritance.mp3
12,The Dominion Mandate,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R. J. Rushdoony: Systematic Theology The Land 2 Dominion Mandate,2,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/image.ashx?filename=%2fimages%2fchalcedon.gif&width=100,https://www.wordmp3.com/details.aspx?id=12,https://www.wordmp3.com/download.aspx?id=12,,,True,2021-11-30 00:28:07.203509,False,Rushdoony_Systematic_Theology_The_Land_02_Dominion_Mandate.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000012_The Dominion Mandate.mp3
13,Judgment,Chalcedon: Theology of the Land,Chalcedon Foundation,Dr. R.J. Rushdoony,Reconstruction,Dr. R. J. Rushdoony: Systematic Theology The Land p 20 Judgment,20,20,https://www.wordmp3.com/images/speaker/118.jpg,https://www.wordmp3.com/images/logo-dimmed.gif,https://www.wordmp3.com/details.aspx?id=13,https://www.wordmp3.com/download.aspx?id=13,,,True,2021-11-30 00:28:09.120190,False,Rushdoony_Systematic_Theology_The_Land_20_Judgment.mp3,D:\Projects\Python\TempScraperContainer\Chalcedon Theology of the Land\0000013_Judgment.mp3
